     x            y            u      
  0.564356     0.059406     0.059301  
  0.574257     0.059406     0.059299  
  0.584158     0.059406     0.059297  
  0.594059     0.059406     0.059294  
  0.603960     0.059406     0.059291  
  0.613861     0.059406     0.059286  
  0.623762     0.059406     0.059281  
  0.633663     0.059406     0.059275  
  0.643564     0.059406     0.059267  
  0.653465     0.059406     0.059257  
  0.663366     0.059406     0.059245  
  0.673267     0.059406     0.059230  
  0.683168     0.059406     0.059211  
  0.693069     0.059406     0.059188  
  0.702970     0.059406     0.059160  
  0.712871     0.059406     0.059125  
  0.722772     0.059406     0.059082  
  0.732673     0.059406     0.059028  
  0.742574     0.059406     0.058962  
  0.752475     0.059406     0.058880  
  0.762376     0.059406     0.058779  
  0.772277     0.059406     0.058653  
  0.782178     0.059406     0.058498  
  0.792079     0.059406     0.058306  
  0.801980     0.059406     0.058069  
  0.811881     0.059406     0.057775  
  0.821782     0.059406     0.057412  
  0.831683     0.059406     0.056963  
  0.841584     0.059406     0.056408  
  0.851485     0.059406     0.055725  
  0.861386     0.059406     0.054884  
  0.871287     0.059406     0.053851  
  0.881188     0.059406     0.052587  
  0.891089     0.059406     0.051045  
  0.900990     0.059406     0.049172  
  0.910891     0.059406     0.046911  
  0.920792     0.059406     0.044199  
  0.930693     0.059406     0.040972  
  0.940594     0.059406     0.037167  
  0.950495     0.059406     0.032725  
  0.960396     0.059406     0.027601  
  0.970297     0.059406     0.021764  
  0.980198     0.059406     0.015202  
  0.990099     0.059406     0.007933  
  0.009901     0.069307     0.008350  
  0.019802     0.069307     0.016152  
  0.029703     0.069307     0.023345  
  0.039604     0.069307     0.029889  
  0.049505     0.069307     0.035765  
  0.059406     0.069307     0.040972  
  0.069307     0.069307     0.045530  
  0.079208     0.069307     0.049473  
  0.089109     0.069307     0.052848  
  0.099010     0.069307     0.055709  
  0.108911     0.069307     0.058114  
  0.118812     0.069307     0.060120  
  0.128713     0.069307     0.061784  
  0.138614     0.069307     0.063156  
  0.148515     0.069307     0.064283  
  0.158416     0.069307     0.065205  
  0.168317     0.069307     0.065957  
  0.178218     0.069307     0.066569  
  0.188119     0.069307     0.067067  
  0.198020     0.069307     0.067471  
  0.207921     0.069307     0.067799  
  0.217822     0.069307     0.068064  
  0.227723     0.069307     0.068279  
  0.237624     0.069307     0.068453  
  0.247525     0.069307     0.068594  
  0.257426     0.069307     0.068708  
  0.267327     0.069307     0.068800  
  0.277228     0.069307     0.068875  
  0.287129     0.069307     0.068936  
  0.297030     0.069307     0.068985  
  0.306931     0.069307     0.069024  
  0.316832     0.069307     0.069056  
  0.326733     0.069307     0.069082  
  0.336634     0.069307     0.069103  
  0.346535     0.069307     0.069120  
  0.356436     0.069307     0.069134  
  0.366337     0.069307     0.069146  
  0.376238     0.069307     0.069155  
  0.386139     0.069307     0.069162  
  0.396040     0.069307     0.069168  
  0.405941     0.069307     0.069173  
  0.415842     0.069307     0.069177  
  0.425743     0.069307     0.069180  
  0.435644     0.069307     0.069182  
  0.445545     0.069307     0.069184  
  0.455446     0.069307     0.069186  
  0.465347     0.069307     0.069187  
  0.475248     0.069307     0.069187  
  0.485149     0.069307     0.069188  
  0.495050     0.069307     0.069188  
  0.504950     0.069307     0.069188  
  0.514851     0.069307     0.069188  
  0.524752     0.069307     0.069187  
  0.534653     0.069307     0.069187  
  0.544554     0.069307     0.069186  
  0.554455     0.069307     0.069184  
  0.564356     0.069307     0.069182  
  0.574257     0.069307     0.069180  
  0.584158     0.069307     0.069177  
  0.594059     0.069307     0.069173  
  0.603960     0.069307     0.069168  
  0.613861     0.069307     0.069162  
  0.623762     0.069307     0.069155  
  0.633663     0.069307     0.069146  
  0.643564     0.069307     0.069134  
  0.653465     0.069307     0.069120  
  0.663366     0.069307     0.069103  
  0.673267     0.069307     0.069082  
  0.683168     0.069307     0.069056  
  0.693069     0.069307     0.069024  
  0.702970     0.069307     0.068985  
  0.712871     0.069307     0.068936  
  0.722772     0.069307     0.068875  
  0.732673     0.069307     0.068800  
  0.742574     0.069307     0.068708  
  0.752475     0.069307     0.068594  
  0.762376     0.069307     0.068453  
  0.772277     0.069307     0.068279  
  0.782178     0.069307     0.068064  
  0.792079     0.069307     0.067799  
  0.801980     0.069307     0.067471  
  0.811881     0.069307     0.067067  
  0.821782     0.069307     0.066569  
  0.831683     0.069307     0.065957  
  0.841584     0.069307     0.065205  
  0.851485     0.069307     0.064283  
  0.861386     0.069307     0.063156  
  0.871287     0.069307     0.061784  
  0.881188     0.069307     0.060120  
  0.891089     0.069307     0.058114  
  0.900990     0.069307     0.055709  
  0.910891     0.069307     0.052848  
  0.920792     0.069307     0.049473  
  0.930693     0.069307     0.045530  
  0.940594     0.069307     0.040972  
  0.950495     0.069307     0.035765  
  0.960396     0.069307     0.029889  
  0.970297     0.069307     0.023345  
  0.980198     0.069307     0.016152  
  0.990099     0.069307     0.008350  
  0.009901     0.079208     0.008674  
  0.019802     0.079208     0.016898  
  0.029703     0.079208     0.024609  
  0.039604     0.079208     0.031753  
  0.049505     0.079208     0.038291  
  0.059406     0.079208     0.044199  
  0.069307     0.079208     0.049473  
  0.079208     0.079208     0.054123  
  0.089109     0.079208     0.058176  
  0.099010     0.079208     0.061671  
  0.108911     0.079208     0.064653  
  0.118812     0.079208     0.067177  
  0.128713     0.079208     0.069295  
  0.138614     0.079208     0.071061  
  0.148515     0.079208     0.072525  
  0.158416     0.079208     0.073733  
  0.168317     0.079208     0.074725  
  0.178218     0.079208     0.075538  
  0.188119     0.079208     0.076202  
  0.198020     0.079208     0.076743  
  0.207921     0.079208     0.077184  
  0.217822     0.079208     0.077542  
  0.227723     0.079208     0.077832  
  0.237624     0.079208     0.078068  
  0.247525     0.079208     0.078259  
  0.257426     0.079208     0.078415  
  0.267327     0.079208     0.078540  
  0.277228     0.079208     0.078642  
  0.287129     0.079208     0.078725  
  0.297030     0.079208     0.078792  
  0.306931     0.079208     0.078846  
  0.316832     0.079208     0.078890  
  0.326733     0.079208     0.078925  
  0.336634     0.079208     0.078954  
  0.346535     0.079208     0.078978  
  0.356436     0.079208     0.078997  
  0.366337     0.079208     0.079012  
  0.376238     0.079208     0.079025  
  0.386139     0.079208     0.079035  
  0.396040     0.079208     0.079043  
  0.405941     0.079208     0.079049  
  0.415842     0.079208     0.079055  
  0.425743     0.079208     0.079059  
  0.435644     0.079208     0.079062  
  0.445545     0.079208     0.079065  
  0.455446     0.079208     0.079067  
  0.465347     0.079208     0.079069  
  0.475248     0.079208     0.079070  
  0.485149     0.079208     0.079071  
  0.495050     0.079208     0.079071  
  0.504950     0.079208     0.079071  
  0.514851     0.079208     0.079071  
  0.524752     0.079208     0.079070  
  0.534653     0.079208     0.079069  
  0.544554     0.079208     0.079067  
  0.554455     0.079208     0.079065  
  0.564356     0.079208     0.079062  
  0.574257     0.079208     0.079059  
  0.584158     0.079208     0.079055  
  0.594059     0.079208     0.079049  
  0.603960     0.079208     0.079043  
  0.613861     0.079208     0.079035  
  0.623762     0.079208     0.079025  
  0.633663     0.079208     0.079012  
  0.643564     0.079208     0.078997  
  0.653465     0.079208     0.078978  
  0.663366     0.079208     0.078954  
  0.673267     0.079208     0.078925  
  0.683168     0.079208     0.078890  
  0.693069     0.079208     0.078846  
  0.702970     0.079208     0.078792  
  0.712871     0.079208     0.078725  
  0.722772     0.079208     0.078642  
  0.732673     0.079208     0.078540  
  0.742574     0.079208     0.078415  
  0.752475     0.079208     0.078259  
  0.762376     0.079208     0.078068  
  0.772277     0.079208     0.077832  
  0.782178     0.079208     0.077542  
  0.792079     0.079208     0.077184  
  0.801980     0.079208     0.076743  
  0.811881     0.079208     0.076202  
  0.821782     0.079208     0.075538  
  0.831683     0.079208     0.074725  
  0.841584     0.079208     0.073733  
  0.851485     0.079208     0.072525  
  0.861386     0.079208     0.071061  
  0.871287     0.079208     0.069295  
  0.881188     0.079208     0.067177  
  0.891089     0.079208     0.064653  
  0.900990     0.079208     0.061671  
  0.910891     0.079208     0.058176  
  0.920792     0.079208     0.054123  
  0.930693     0.079208     0.049473  
  0.940594     0.079208     0.044199  
  0.950495     0.079208     0.038291  
  0.960396     0.079208     0.031753  
  0.970297     0.079208     0.024609  
  0.980198     0.079208     0.016898  
  0.990099     0.079208     0.008674  
  0.009901     0.089109     0.008926  
  0.019802     0.089109     0.017486  
  0.029703     0.089109     0.025618  
  0.039604     0.089109     0.033264  
  0.049505     0.089109     0.040375  
  0.059406     0.089109     0.046911  
  0.069307     0.089109     0.052848  
  0.079208     0.089109     0.058176  
  0.089109     0.089109     0.062902  
  0.099010     0.089109     0.067044  
  0.108911     0.089109     0.070636  
  0.118812     0.089109     0.073719  
  0.128713     0.089109     0.076342  
  0.138614     0.089109     0.078555  
  0.148515     0.089109     0.080408  
  0.158416     0.089109     0.081951  
  0.168317     0.089109     0.083229  
  0.178218     0.089109     0.084283  
  0.188119     0.089109     0.085149  
  0.198020     0.089109     0.085858  
  0.207921     0.089109     0.086438  
